agent,depth,layout,avg_score,avg_time
ReflexAgent,1,capsuleClassic,-411.0,0.0001547193071087313
ReflexAgent,1,contestClassic,320.7142857142857,0.00016420780708147707
ReflexAgent,1,mediumClassic,-67.28571428571429,0.00018333874914113992
ReflexAgent,1,minimaxClassic,514.8571428571429,0.00012830041703723726
ReflexAgent,1,openClassic,223.57142857142858,0.00023988328274840345
ReflexAgent,1,originalClassic,181.0,0.0002369647278407108
ReflexAgent,1,smallClassic,-291.7142857142857,0.00018469069773644053
ReflexAgent,1,testClassic,533.1428571428571,0.000140564197224645
ReflexAgent,1,trappedClassic,-501.7142857142857,0.00010892323085239955
ReflexAgent,1,trickyClassic,-84.42857142857143,0.00020390801971363007
BetterAgent,1,capsuleClassic,-232.42857142857142,0.00029782980749539536
BetterAgent,1,contestClassic,752.4285714285714,0.0004190479388795099
BetterAgent,1,mediumClassic,672.7142857142857,0.000562154438336909
BetterAgent,1,minimaxClassic,514.2857142857143,0.0001842614744796234
BetterAgent,1,openClassic,1251.2857142857142,0.0008164603672724888
BetterAgent,1,originalClassic,504.7142857142857,0.001168839818541026
BetterAgent,1,smallClassic,422.57142857142856,0.0004483909706251519
BetterAgent,1,testClassic,563.1428571428571,0.0002432334990728469
BetterAgent,1,trappedClassic,88.85714285714286,0.00018721818923950195
BetterAgent,1,trickyClassic,526.8571428571429,0.0006443665387436849
MinimaxAgent,2,capsuleClassic,241.14285714285714,0.003110785489145957
MinimaxAgent,3,capsuleClassic,280.42857142857144,0.011165720887621942
MinimaxAgent,2,contestClassic,1410.857142857143,0.004561736817601186
MinimaxAgent,3,contestClassic,1467.4285714285713,0.022788016079341895
MinimaxAgent,2,mediumClassic,1359.0,0.0050976202878381905
MinimaxAgent,3,mediumClassic,1757.142857142857,0.029344483344856172
MinimaxAgent,2,minimaxClassic,514.8571428571429,0.002177486817042033
MinimaxAgent,3,minimaxClassic,513.1428571428571,0.006263310837760411
MinimaxAgent,2,openClassic,1239.5714285714287,0.02287709378393697
MinimaxAgent,3,openClassic,1236.7142857142858,0.23468283609826598
MinimaxAgent,2,originalClassic,1902.5714285714287,0.00657762769693958
MinimaxAgent,3,originalClassic,2494.8571428571427,0.025017247329695926
MinimaxAgent,2,smallClassic,966.7142857142857,0.007540353676326169
MinimaxAgent,3,smallClassic,1037.857142857143,0.040708919339197576
MinimaxAgent,2,testClassic,563.7142857142857,0.00436864107374161
MinimaxAgent,3,testClassic,556.8571428571429,0.02567286450141965
MinimaxAgent,2,trappedClassic,-206.28571428571428,0.000747382640838623
MinimaxAgent,3,trappedClassic,88.85714285714286,0.000806455101285662
MinimaxAgent,2,trickyClassic,1505.5714285714287,0.010894431345295028
MinimaxAgent,3,trickyClassic,1750.7142857142858,0.0956234134987024
AlphaBetaAgent,2,capsuleClassic,-194.71428571428572,0.0025835599442690293
AlphaBetaAgent,3,capsuleClassic,500.14285714285717,0.007881649910572172
AlphaBetaAgent,2,contestClassic,1411.142857142857,0.004028524551107262
AlphaBetaAgent,3,contestClassic,1412.7142857142858,0.013369585833031923
AlphaBetaAgent,2,mediumClassic,1379.0,0.004236618585628816
AlphaBetaAgent,3,mediumClassic,1620.0,0.015484969134568455
AlphaBetaAgent,2,minimaxClassic,371.57142857142856,0.0016437939235142299
AlphaBetaAgent,3,minimaxClassic,223.14285714285714,0.003949903933431764
AlphaBetaAgent,2,openClassic,1270.0,0.014875001092973445
AlphaBetaAgent,3,openClassic,1226.7142857142858,0.0766164701294428
