agent,depth,layout,avg_score,avg_time
MinimaxAgent,4,capsuleClassic,345.0,0.044886802178527106
MinimaxAgent,4,contestClassic,1578.0,0.11323088211912775
MinimaxAgent,4,mediumClassic,1952.0,0.17027526133464202
MinimaxAgent,4,minimaxClassic,310.8,0.015254498924871887
MinimaxAgent,4,openClassic,1193.6,2.190957490440163
MinimaxAgent,4,originalClassic,2440.2,0.09006352238907475
MinimaxAgent,4,smallClassic,1317.4,0.23360145084217318
MinimaxAgent,4,testClassic,556.0,0.16913991686241622
MinimaxAgent,4,trappedClassic,-501.2,0.0014662742614746094
MinimaxAgent,4,trickyClassic,1910.4,1.0849632674622114
AlphaBetaAgent,4,capsuleClassic,-22.2,0.026001600339311166
AlphaBetaAgent,4,contestClassic,1452.4,0.03885188240913924
AlphaBetaAgent,4,mediumClassic,1884.6,0.056805715902521446
AlphaBetaAgent,4,minimaxClassic,109.4,0.007828047275543213
AlphaBetaAgent,4,openClassic,1214.0,0.38417331015124245
AlphaBetaAgent,4,originalClassic,2726.8,0.04300721779851554
AlphaBetaAgent,4,smallClassic,1198.6,0.06504421712979237
AlphaBetaAgent,4,testClassic,554.0,0.03972930002780188
AlphaBetaAgent,4,trappedClassic,-501.4,0.000721883773803711
AlphaBetaAgent,4,trickyClassic,1764.8,0.2482234846991299
RandomExpectimaxAgent,4,capsuleClassic,470.0,0.058243964528053895
RandomExpectimaxAgent,4,contestClassic,1989.8,0.15347005237546446
RandomExpectimaxAgent,4,mediumClassic,1805.2,0.1430413408795214
RandomExpectimaxAgent,4,minimaxClassic,313.0,0.017172520955403645
RandomExpectimaxAgent,4,openClassic,1249.4,2.3387511086748836
RandomExpectimaxAgent,4,originalClassic,2740.2,0.10553478335301207
RandomExpectimaxAgent,4,smallClassic,1038.8,0.216282496454913
RandomExpectimaxAgent,4,testClassic,549.6,0.1689696514234673
RandomExpectimaxAgent,4,trappedClassic,-295.2,0.0009452939033508301
RandomExpectimaxAgent,4,trickyClassic,2092.2,0.8748812665063148
